min,max,mean,median,sd,sum,count,id
1,1320,89.17803126320237,85.0,41.33695885553136,3166266,35505,0
1,2286,137.8531034328725,133.0,46.7674193949121,160474522,1164098,1
134,263,207.0,202.0,40.52159917870962,1449,7,2
217,304,250.5,240.5,33.93007515464709,1002,4,3
204,300,254.66666666666666,260.0,39.37286149395573,764,3,4
224,323,262.0,235.0,41.92851058647326,1310,5,5
129,401,200.77083333333334,186.0,57.23207127685393,9637,48,6
78,376,205.13793103448276,185.0,80.52060097842215,5949,29,7
78,347,165.77777777777777,135.0,77.93555425660325,2984,18,8
110,321,192.57142857142858,183.0,62.644933993915586,2696,14,9
462,627,521.1052631578947,523.0,37.1262352080065,19802,38,10
198,222,210.33333333333334,211.0,9.809292646374775,631,3,11
68,162,116.19444444444444,120.5,26.485655912886177,4183,36,12
112,148,133.33333333333334,140.0,15.434449203720302,400,3,13
262,391,333.90909090909093,338.0,44.57568547467543,3673,11,14
232,281,263.0,262.0,15.380878667079738,1841,7,15
108,446,178.58196721311475,165.5,57.775972112177584,21787,122,16
72,374,169.96153846153845,149.0,72.33388437241821,8838,52,17
104,387,223.62962962962962,213.0,72.90894785717734,6038,27,18
118,412,237.38636363636363,213.5,71.45348643096777,10445,44,19
142,317,232.69230769230768,226.0,41.03635276825549,6050,26,20
73,364,219.45217391304348,228.0,70.33784848896582,25237,115,21
62,395,191.024,189.0,68.15798870271921,23878,125,22
13,380,126.40716131413807,115.0,50.245693508572856,342437,2709,23
52,430,199.80541624874624,185.0,68.70202438951789,199206,997,24
26,575,126.16787912702854,114.0,49.279677818768214,225462,1787,25
160,325,234.66666666666666,221.5,53.90526669795613,4224,18,26
114,205,176.11111111111111,192.0,31.11428555233269,1585,9,27
245,325,287.84615384615387,282.0,27.346343177966236,3742,13,28
212,225,217.5,216.5,4.8218253804964775,870,4,29
87,223,154.25925925925927,155.0,35.03711533935343,4165,27,30
91,260,192.984126984127,195.5,29.674687018310212,24316,126,31
206,302,244.45,247.0,23.20447155183673,4889,20,32
158,276,205.07692307692307,207.0,27.325562949965814,5332,26,33
106,239,182.0,170.5,35.10392733421311,2548,14,34
181,315,237.375,232.0,40.76130978023155,1899,8,35
217,531,396.9583333333333,405.5,76.8870812548434,9527,24,36
203,455,337.82608695652175,347.0,63.37099334657434,7770,23,37
115,231,158.625,148.5,32.69150310095882,1269,8,38
70,293,193.5,203.0,81.96289811046621,1161,6,39
138,291,200.0,185.0,46.35299343084543,2000,10,40
101,336,220.1326923076923,226.0,43.150894549751655,114469,520,41
146,302,236.5,249.5,60.55507135382359,1419,6,42
102,375,257.9166666666667,271.0,69.13146694684137,6190,24,43
139,199,160.875,159.5,20.13353856131604,1287,8,44
62,269,163.26315789473685,160.0,49.42920733125428,3102,19,45
164,403,286.2079207920792,281.0,48.23443509921372,28907,101,46
63,283,167.52941176470588,165.0,61.31127681234392,2848,17,47
104,170,137.125,129.0,23.944923783549616,1097,8,48
67,377,228.15942028985506,237.5,69.08441028619606,31486,138,49
1,310,120.38297872340425,96.5,82.18597312413627,11316,94,50
197,226,212.0,212.5,13.546217184144066,848,4,51
115,332,243.0909090909091,255.0,65.68444474144343,2674,11,52
179,183,181.0,181.0,2.0,362,2,53
193,267,220.25,220.0,23.684119151870522,1762,8,54
86,268,155.0,126.0,56.6411707349188,1395,9,55
186,186,186.0,186.0,0.0,186,1,56
171,222,195.75,195.0,18.91262805640718,783,4,57
93,216,155.14285714285714,149.5,35.08124680724761,2172,14,58
223,284,255.33333333333334,256.0,20.377002287437232,1532,6,59
110,225,168.75,170.0,41.41482222586498,675,4,60
201,400,293.5,286.5,85.30679926008243,1174,4,61
140,329,216.5,198.5,76.6175567347328,866,4,62
262,262,262.0,262.0,0.0,262,1,63
127,220,186.46153846153845,200.0,31.31629063557173,2424,13,64
112,232,168.66666666666666,166.0,38.032150142273636,1518,9,65
63,352,206.73214285714286,203.5,55.71755656607599,11577,56,66
118,168,150.0,164.0,22.686266036231405,450,3,67
183,278,227.77777777777777,242.0,32.83554232087804,2050,9,68
237,343,290.0,290.0,53.0,580,2,69
122,280,230.92857142857142,244.5,39.64028305671298,3233,14,70
94,139,119.66666666666667,126.0,18.909139471577113,359,3,71
37,196,116.5,116.5,79.5,233,2,72
186,247,214.8,212.0,19.425756098540926,1074,5,73
116,197,159.16666666666666,168.5,32.05940666256248,955,6,74
205,291,243.0,237.0,32.4037034920393,1215,5,75
65,375,145.45652173913044,130.5,60.16163248021375,6691,46,76
75,211,140.625,144.0,42.999818313569655,1125,8,77
74,346,198.94871794871796,194.0,63.132724952236984,7759,39,78
214,339,277.22222222222223,266.0,32.920030301652645,2495,9,79
69,268,154.45454545454547,140.5,61.912494900410756,3398,22,80
150,283,213.23076923076923,215.0,37.61577788059327,2772,13,81
93,303,175.40625,172.5,50.059876257712624,5613,32,82
69,277,191.64705882352942,181.0,65.14503382857323,3258,17,83
58,406,183.57894736842104,167.0,87.16267255317074,10464,57,84
53,403,152.5,133.0,71.12673129535692,6405,42,85
194,445,331.46666666666664,332.0,46.708838088262866,14916,45,86
123,398,240.0909090909091,240.5,74.3773603695183,5282,22,87
243,310,285.25,294.0,25.252475126212875,1141,4,88
240,391,311.75,308.0,54.30181856991532,1247,4,89
304,365,340.125,347.0,20.817285485864865,2721,8,90
199,415,313.84375,328.0,49.519004795507556,10043,32,91
317,417,375.6,381.0,34.03292523424926,1878,5,92
349,401,367.2,357.0,19.041008376659047,1836,5,93
196,396,286.8181818181818,272.0,49.167280661058584,3155,11,94
441,458,449.2,451.0,7.054076835419359,2246,5,95
119,314,235.7,231.0,55.3318172483066,2357,10,96
210,210,210.0,210.0,0.0,210,1,97
39,325,141.70909090909092,132.0,66.25369224078905,7794,55,98
134,230,178.44444444444446,161.0,36.06817960816589,1606,9,99
344,409,373.8,369.0,23.21551205552012,1869,5,100
236,244,240.0,240.0,4.0,480,2,101
77,309,189.57142857142858,185.0,64.49183885509518,3981,21,102
162,357,241.22641509433961,241.0,46.623195097619764,12785,53,103
133,299,192.375,183.0,48.51272384643023,1539,8,104
233,255,241.4,236.0,9.264987857520376,1207,5,105
221,398,319.2375,323.0,40.18589421364168,25539,80,106
183,340,267.44444444444446,272.0,39.58145219701636,2407,9,107
164,373,284.5,277.0,55.20756288770588,4552,16,108
178,398,286.86842105263156,281.5,49.44463732969249,21802,76,109
218,368,294.84,296.0,34.49774485383066,14742,50,110
35,246,129.57258064516128,122.0,43.10754993133113,16067,124,111
143,325,228.85714285714286,228.0,35.443430063890226,8010,35,112
230,370,283.3333333333333,286.0,40.25789876158979,5950,21,113
131,547,260.8333333333333,231.0,115.78680120520357,4695,18,114
273,409,330.22222222222223,315.0,44.32651019618891,2972,9,115
190,325,253.125,248.0,32.308812652278014,12150,48,116
148,389,255.81034482758622,254.5,47.302568602908,14837,58,117
21,320,123.79501385041551,110.0,52.4403587104027,44690,361,118
27,269,117.53086419753086,109.0,53.46652037011321,9520,81,119
72,346,149.1451612903226,128.5,74.05617893111426,9247,62,120
66,550,195.52866242038218,174.0,82.99870005194533,30698,157,121
128,642,322.04338624338624,332.0,81.98257151966996,304331,945,122
72,307,171.1818181818182,170.0,69.00700647143564,1883,11,123
189,1072,511.739837398374,513.0,87.39142998821212,566496,1107,124
173,358,260.5408163265306,261.0,37.067277050048325,25533,98,125
183,244,215.2,228.0,23.489572154468885,1076,5,126
72,360,229.66666666666666,243.0,74.14141551757355,7579,33,127
89,201,135.25,125.5,41.45102531904368,541,4,128
137,235,192.71428571428572,197.0,26.561057884022002,2698,14,129
--,--,--,--,--,--,0,130
244,244,244.0,244.0,0.0,244,1,131
175,211,197.6,206.0,13.865064009949611,988,5,132
317,362,338.5,337.5,16.590660023037056,1354,4,133
